,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D,"('EK882203@BMRK Corp', 'PX_LAST')"
11,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
12,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
13,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
14,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
15,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
16,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
17,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
18,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
19,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
20,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
21,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
22,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
23,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
24,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
25,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
26,,BB,0.0,,0.0,Ba2,0.0,16.375304270856383,1.5877025738798856,1.296,,,9.91039913114309,980.0,63.0,N,Sr Unsecured,FIXED,2.0,4.709190368652344,4.309442043304443,4.646617412567139,
