ticker,EK811981@BMRK Corp
field,PX_LAST
date,
2017-10-31,101.329
2017-11-01,101.268
2017-11-02,101.289
2017-11-03,101.277
2017-11-06,101.263
2017-11-07,101.206
2017-11-08,101.184
2017-11-09,101.196
2017-11-10,101.146
2017-11-13,101.068
2017-11-14,101.063
2017-11-15,101.073
2017-11-16,101.001
2017-11-17,101.015
2017-11-20,100.946
2017-11-21,100.894
2017-11-22,101.01
2017-11-24,100.963
2017-11-27,100.522
2017-11-28,100.525
2017-11-29,100.459
2017-11-30,100.396
2017-12-01,100.431
2017-12-04,100.344
2017-12-05,100.347
2017-12-06,100.376
2017-12-07,100.362
2017-12-08,100.374
2017-12-11,100.51
2017-12-12,100.478
2017-12-13,100.583
2017-12-14,100.498
2017-12-15,100.491
2017-12-18,100.457
2017-12-19,100.46
2017-12-20,100.416
2017-12-21,100.381
2017-12-22,100.407
2017-12-26,100.42
2017-12-27,100.466
2017-12-28,100.494
2017-12-29,100.551
2018-01-02,100.472
2018-01-03,100.5
2018-01-04,100.452
2018-01-05,100.452
2018-01-08,100.449
2018-01-09,100.405
2018-01-10,100.397
2018-01-11,100.387
2018-01-12,100.452
2018-01-16,100.362
2018-01-17,100.36
2018-01-18,100.348
2018-01-19,100.322
2018-01-22,100.31
2018-01-23,100.388
2018-01-24,100.365
2018-01-25,100.6
2018-01-26,100.617
2018-01-29,100.591
2018-01-30,100.587
2018-01-31,100.537
2018-02-01,100.011
2018-02-02,100.056
2018-02-05,100.223
2018-02-06,100.556
2018-02-07,100.588
2018-02-08,100.093
2018-02-09,100.11
2018-02-12,100.1
2018-02-13,100.086
2018-02-14,99.949
2018-02-15,99.914
2018-02-16,99.957
2018-02-20,100.345
2018-02-21,100.246
2018-02-22,100.309
2018-02-23,100.344
2018-02-26,100.324
2018-02-27,100.198
2018-02-28,100.22
2018-03-01,100.335
2018-03-02,100.294
2018-03-05,100.245
2018-03-06,100.271
2018-03-07,100.193
2018-03-08,100.184
2018-03-09,100.195
2018-03-12,100.163
2018-03-13,100.155
2018-03-14,100.162
2018-03-15,100.339
2018-03-16,100.294
2018-03-19,100.308
2018-03-20,100.204
2018-03-21,100.249
2018-03-22,100.286
2018-03-23,100.303
2018-03-26,100.246
2018-03-27,99.981
2018-03-28,100.054
2018-03-29,100.155
2018-04-02,100.182
2018-04-03,100.115
2018-04-04,100.091
2018-04-05,100.073
2018-04-06,100.138
2018-04-09,100.119
2018-04-10,100.076
2018-04-11,100.022
2018-04-12,99.942
2018-04-13,99.922
2018-04-16,99.907
2018-04-17,99.891
2018-04-18,99.862
2018-04-19,99.839
2018-04-20,99.802
2018-04-23,99.785
2018-04-24,99.779
2018-04-25,99.764
2018-04-26,99.527
2018-04-27,99.555
2018-04-30,99.501
2018-05-01,99.488
2018-05-02,99.475
2018-05-03,99.517
2018-05-04,99.486
2018-05-07,99.517
2018-05-08,99.391
2018-05-09,99.36
2018-05-10,99.336
2018-05-11,99.358
2018-05-14,99.066
2018-05-15,98.791
2018-05-16,98.609
2018-05-17,98.664
2018-05-18,99.048
2018-05-21,99.016
2018-05-22,98.974
2018-05-23,99.128
2018-05-24,99.13
2018-05-25,99.184
2018-05-29,99.204
2018-05-30,99.074
2018-05-31,99.041
2018-06-01,98.981
2018-06-04,98.928
2018-06-05,98.963
2018-06-06,98.986
2018-06-07,99.015
2018-06-08,98.998
2018-06-11,99.168
2018-06-12,99.143
2018-06-13,99.105
2018-06-14,99.175
2018-06-15,99.184
2018-06-18,99.218
2018-06-19,99.266
