ticker,EJ536676@BMRK Corp
field,PX_LAST
date,
2016-06-02,98.045
2016-06-03,98.396
2016-06-06,98.585
2016-06-07,98.797
2016-06-08,99.29
2016-06-09,99.291
2016-06-10,99.133
2016-06-13,98.968
2016-06-14,98.482
2016-06-15,98.577
2016-06-16,97.605
2016-06-17,97.963
2016-06-20,98.436
2016-06-21,98.781
2016-06-22,98.78
2016-06-23,98.973
2016-06-24,98.422
2016-06-27,98.294
2016-06-28,98.245
2016-06-29,98.447
2016-06-30,98.45
2016-07-01,97.537
2016-07-05,96.76
2016-07-06,96.121
2016-07-07,95.605
2016-07-08,95.923
2016-07-11,96.49
2016-07-12,96.969
2016-07-13,97.735
2016-07-14,98.221
2016-07-15,98.398
2016-07-18,98.358
2016-07-19,98.499
2016-07-20,98.355
2016-07-21,98.351
2016-07-22,98.456
2016-07-25,98.217
2016-07-26,97.818
2016-07-27,97.899
2016-07-28,98.243
2016-07-29,98.539
2016-08-01,98.537
2016-08-02,98.419
2016-08-03,98.355
2016-08-04,98.524
2016-08-05,98.619
2016-08-08,98.764
2016-08-09,99.659
2016-08-10,101.192
2016-08-11,101.026
2016-08-12,101.388
2016-08-15,101.429
2016-08-16,101.547
2016-08-17,101.589
2016-08-18,101.506
2016-08-19,101.5
2016-08-22,101.517
2016-08-23,101.035
2016-08-24,100.958
2016-08-25,101.251
2016-08-26,101.653
2016-08-29,101.739
2016-08-30,101.637
2016-08-31,101.656
2016-09-01,101.762
2016-09-02,101.848
2016-09-06,98.44
2016-09-07,96.171
2016-09-08,95.837
2016-09-09,95.756
2016-09-12,95.998
2016-09-13,95.711
2016-09-14,96.625
2016-09-15,96.777
2016-09-16,97.563
2016-09-19,97.741
2016-09-20,97.687
2016-09-21,97.332
2016-09-22,98.638
2016-09-23,98.628
2016-09-26,98.197
2016-09-27,97.837
2016-09-28,97.949
2016-09-29,97.95
2016-09-30,97.492
2016-10-03,97.406
2016-10-04,97.43
2016-10-05,97.515
2016-10-06,97.565
2016-10-07,97.597
2016-10-11,97.911
2016-10-12,98.689
2016-10-13,99.04
2016-10-14,99.278
2016-10-17,99.626
2016-10-18,99.681
2016-10-19,99.763
2016-10-20,99.926
2016-10-21,99.46
2016-10-24,99.565
2016-10-25,99.518
2016-10-26,97.213
2016-10-27,97.029
2016-10-28,96.889
2016-10-31,96.726
2016-11-01,96.481
2016-11-02,96.128
2016-11-03,96.104
2016-11-04,95.765
2016-11-07,95.696
2016-11-08,96.038
2016-11-09,95.494
2016-11-10,94.795
2016-11-14,93.528
2016-11-15,94.205
2016-11-16,94.683
2016-11-17,94.48
2016-11-18,94.419
2016-11-21,94.655
2016-11-22,94.787
2016-11-23,94.759
2016-11-25,95.281
2016-11-28,95.385
2016-11-29,95.485
2016-11-30,95.699
2016-12-01,95.429
2016-12-02,95.601
2016-12-05,95.572
2016-12-06,99.173
2016-12-07,99.303
2016-12-08,99.186
2016-12-09,99.223
2016-12-12,99.299
2016-12-13,99.245
2016-12-14,99.391
2016-12-15,99.619
2016-12-16,99.647
2016-12-19,99.871
2016-12-20,99.921
2016-12-21,99.983
2016-12-22,100.004
2016-12-23,100.017
2016-12-27,100.411
2016-12-28,100.669
2016-12-29,100.916
2016-12-30,100.965
2017-01-03,100.791
2017-01-04,101.257
2017-01-05,101.211
2017-01-06,101.068
2017-01-09,101.174
2017-01-10,101.16
2017-01-11,100.977
2017-01-12,101.091
2017-01-13,101.082
2017-01-17,101.144
2017-01-18,100.655
2017-01-19,100.524
2017-01-20,100.395
2017-01-23,100.023
2017-01-24,99.967
2017-01-25,99.943
2017-01-26,100.142
2017-01-27,100.322
2017-01-30,100.293
2017-01-31,100.253
2017-02-01,100.29
2017-02-02,100.551
2017-02-03,100.876
2017-02-06,101.109
2017-02-07,100.111
2017-02-08,100.33
2017-02-09,100.169
2017-02-10,100.129
2017-02-13,100.346
2017-02-14,100.825
2017-02-15,100.795
2017-02-16,101.541
2017-02-17,100.809
2017-02-21,100.744
2017-02-22,101.148
2017-02-23,101.342
2017-02-24,101.643
2017-02-27,101.547
2017-02-28,101.777
2017-03-01,102.653
2017-03-02,102.582
2017-03-03,102.732
2017-03-06,102.586
2017-03-07,102.58
2017-03-08,102.132
2017-03-09,101.725
2017-03-10,101.772
2017-03-13,102.095
2017-03-14,102.05
2017-03-15,102.064
2017-03-16,101.959
2017-03-17,99.404
2017-03-20,98.45
2017-03-21,98.78
2017-03-22,98.116
2017-03-23,99.175
2017-03-24,99.107
2017-03-27,100.938
2017-03-28,101.106
2017-03-29,101.491
2017-03-30,101.34
2017-03-31,100.701
2017-04-03,100.286
2017-04-04,100.397
2017-04-05,100.721
2017-04-06,100.759
2017-04-07,100.631
2017-04-10,100.961
2017-04-11,101.262
2017-04-12,101.372
2017-04-13,100.915
2017-04-17,100.909
2017-04-18,101.087
2017-04-19,100.991
2017-04-20,100.945
2017-04-21,100.942
2017-04-24,100.929
2017-04-25,101.172
2017-04-26,101.875
2017-04-27,101.859
2017-04-28,101.919
2017-05-01,101.713
2017-05-02,101.814
2017-05-03,101.763
2017-05-04,101.689
2017-05-05,101.963
2017-05-08,101.668
2017-05-09,101.76
2017-05-10,101.798
2017-05-11,101.95
2017-05-12,101.696
2017-05-15,100.789
2017-05-16,99.992
2017-05-17,100.137
2017-05-18,98.863
2017-05-19,96.79
2017-05-22,91.137
2017-05-23,84.8
2017-05-24,87.413
2017-05-25,87.903
2017-05-26,87.413
