ticker,PMI,CPI,UNEMPLOYMENT,Spread,Commodity_Index,Libor,Interest_Rates,Philly_Fed
2015-08-12,51.8,0.2,5.2,204.661,442.89,0.194,0.25,4.6
2015-08-13,51.8,0.2,5.2,208.902,443.37,0.1976,0.25,4.6
2015-08-14,51.8,0.2,5.2,211.153,448.09,0.1996,0.25,4.6
2015-08-17,51.8,0.2,5.2,210.185,448.82,0.2046,0.25,4.6
2015-08-18,51.8,0.2,5.2,212.134,448.64,0.20275,0.25,4.6
2015-08-19,51.8,0.2,5.2,207.986,446.91,0.202,0.25,4.6
2015-08-20,51.8,0.2,5.2,204.752,447.95,0.2004,0.25,4.6
2015-08-21,51.8,0.2,5.2,201.107,447.11,0.1994,0.25,4.6
2015-08-24,51.8,0.2,5.2,197.803,443.02,0.1994,0.25,4.6
2015-08-25,51.8,0.2,5.2,201.041,440.15,0.19775,0.25,4.6
2015-08-26,51.8,0.2,5.2,211.417,437.77,0.198,0.25,4.6
2015-08-27,51.8,0.2,5.2,212.991,440.22,0.197,0.25,4.6
2015-08-28,51.8,0.2,5.2,211.964,440.04,0.19855,0.25,4.6
2015-08-31,50.6,0.2,5.1,221.286,441.1,0.19855,0.25,6.5
2015-09-01,50.6,0.2,5.1,211.177,441.44,0.2012,0.25,6.5
2015-09-02,50.6,0.2,5.1,216.907,443.9,0.2028,0.25,6.5
2015-09-03,50.6,0.2,5.1,213.924,444.43,0.2043,0.25,6.5
2015-09-04,50.6,0.2,5.1,209.388,443.74,0.19925,0.25,6.5
2015-09-07,50.6,0.2,5.1,209.388,443.74,0.2027,0.25,6.5
2015-09-08,50.6,0.2,5.1,215.23,443.34,0.203,0.25,6.5
2015-09-09,50.6,0.2,5.1,216.512,443.53,0.204,0.25,6.5
2015-09-10,50.6,0.2,5.1,220.175,444.71,0.20635,0.25,6.5
2015-09-11,50.6,0.2,5.1,215.793,445.02,0.20655,0.25,6.5
2015-09-14,50.6,0.2,5.1,215.264,443.9,0.209,0.25,6.5
2015-09-15,50.6,0.2,5.1,222.573,443.43,0.20725,0.25,6.5
2015-09-16,50.6,0.2,5.1,223.807,442.39,0.2128,0.25,6.5
2015-09-17,50.6,0.2,5.1,219.032,441.64,0.216,0.25,6.5
2015-09-18,50.6,0.2,5.1,214.378,438.77,0.1958,0.25,6.5
2015-09-21,50.6,0.2,5.1,221.135,440.43,0.195,0.25,6.5
2015-09-22,50.6,0.2,5.1,213.369,437.21,0.1956,0.25,6.5
2015-09-23,50.6,0.2,5.1,213.95,434.26,0.1939,0.25,6.5
2015-09-24,50.6,0.2,5.1,212.156,435.4,0.1943,0.25,6.5
2015-09-25,50.6,0.2,5.1,217.75,433.53,0.1943,0.25,6.5
2015-09-28,50.6,0.2,5.1,209.491,433.28,0.1936,0.25,6.5
2015-09-29,50.6,0.2,5.1,205.59,433.34,0.193,0.25,6.5
2015-09-30,50.0,0.0,5.0,204.692,435.02,0.193,0.25,-3.7
2015-10-01,50.0,0.0,5.0,205.709,434.49,0.194,0.25,-3.7
2015-10-02,50.0,0.0,5.0,199.286,434.67,0.1947,0.25,-3.7
2015-10-05,50.0,0.0,5.0,206.126,432.07,0.19375,0.25,-3.7
2015-10-06,50.0,0.0,5.0,203.153,432.24,0.1941,0.25,-3.7
2015-10-07,50.0,0.0,5.0,206.678,432.0,0.19605,0.25,-3.7
2015-10-08,50.0,0.0,5.0,209.892,431.2,0.19545,0.25,-3.7
2015-10-09,50.0,0.0,5.0,208.305,423.57,0.19685,0.25,-3.7
2015-10-12,50.0,0.0,5.0,208.305,425.61,0.19325,0.25,-3.7
2015-10-13,50.0,0.0,5.0,203.884,426.43,0.19575,0.25,-3.7
2015-10-14,50.0,0.0,5.0,197.178,425.59,0.199,0.25,-3.7
2015-10-15,50.0,0.0,5.0,201.746,426.24,0.19675,0.25,-3.7
2015-10-16,50.0,0.0,5.0,202.828,425.38,0.19425,0.25,-3.7
2015-10-19,50.0,0.0,5.0,202.277,424.01,0.196,0.25,-3.7
2015-10-20,50.0,0.0,5.0,205.683,423.84,0.1965,0.25,-3.7
2015-10-21,50.0,0.0,5.0,201.771,420.8,0.1948,0.25,-3.7
2015-10-22,50.0,0.0,5.0,202.124,419.76,0.19695,0.25,-3.7
2015-10-23,50.0,0.0,5.0,208.153,420.44,0.1935,0.25,-3.7
2015-10-26,50.0,0.0,5.0,203.611,418.83,0.19355,0.25,-3.7
2015-10-27,50.0,0.0,5.0,201.664,419.43,0.19075,0.25,-3.7
2015-10-28,50.0,0.0,5.0,205.517,417.67,0.1883,0.25,-3.7
2015-10-29,50.0,0.0,5.0,210.64,413.74,0.193,0.25,-3.7
2015-10-30,50.0,0.0,5.0,206.587,414.28,0.192,0.25,-3.7
2015-11-02,49.6,0.2,5.0,210.986,413.56,0.19,0.25,-5.2
2015-11-03,49.6,0.2,5.0,215.475,412.72,0.1922,0.25,-5.2
2015-11-04,49.6,0.2,5.0,217.939,412.5,0.1932,0.25,-5.2
2015-11-05,49.6,0.2,5.0,218.667,411.52,0.19475,0.25,-5.2
2015-11-06,49.6,0.2,5.0,224.408,410.12,0.1945,0.25,-5.2
2015-11-09,49.6,0.2,5.0,226.245,403.28,0.197,0.25,-5.2
2015-11-10,49.6,0.2,5.0,220.462,403.38,0.1955,0.25,-5.2
2015-11-11,49.6,0.2,5.0,219.792,402.91,0.19575,0.25,-5.2
2015-11-12,49.6,0.2,5.0,217.937,401.66,0.197,0.25,-5.2
2015-11-13,49.6,0.2,5.0,214.376,401.8,0.19725,0.25,-5.2
2015-11-16,49.6,0.2,5.0,216.078,401.62,0.19925,0.25,-5.2
2015-11-17,49.6,0.2,5.0,216.919,402.53,0.2025,0.25,-5.2
2015-11-18,49.6,0.2,5.0,215.588,400.67,0.20675,0.25,-5.2
2015-11-19,49.6,0.2,5.0,215.162,399.55,0.21325,0.25,-5.2
2015-11-20,49.6,0.2,5.0,216.059,399.16,0.2115,0.25,-5.2
2015-11-23,49.6,0.2,5.0,212.581,399.23,0.221,0.25,-5.2
2015-11-24,49.6,0.2,5.0,207.493,397.31,0.225,0.25,-5.2
2015-11-25,49.6,0.2,5.0,205.615,399.2,0.2315,0.25,-5.2
2015-11-26,49.6,0.2,5.0,205.615,399.2,0.23275,0.25,-5.2
2015-11-27,49.6,0.2,5.0,204.717,399.76,0.24375,0.25,-5.2
2015-11-30,48.9,0.5,5.1,203.312,399.96,0.243,0.25,-3.8
2015-12-01,48.9,0.5,5.1,193.966,400.71,0.24375,0.25,-3.8
2015-12-02,48.9,0.5,5.1,196.437,400.31,0.251,0.25,-3.8
2015-12-03,48.9,0.5,5.1,210.504,399.86,0.2686,0.25,-3.8
2015-12-04,48.9,0.5,5.1,205.241,400.42,0.2755,0.25,-3.8
2015-12-07,48.9,0.5,5.1,199.482,400.46,0.287,0.25,-3.8
2015-12-08,48.9,0.5,5.1,194.353,399.89,0.2931,0.25,-3.8
2015-12-09,48.9,0.5,5.1,196.212,400.65,0.3005,0.25,-3.8
2015-12-10,48.9,0.5,5.1,199.655,400.31,0.317,0.25,-3.8
2015-12-11,48.9,0.5,5.1,190.325,401.67,0.3305,0.25,-3.8
2015-12-14,48.9,0.5,5.1,201.316,401.98,0.3445,0.25,-3.8
2015-12-15,48.9,0.5,5.1,201.658,401.11,0.3505,0.25,-3.8
2015-12-16,48.9,0.5,5.1,204.163,400.95,0.36,0.5,-3.8
2015-12-17,48.9,0.5,5.1,199.962,399.98,0.4021,0.5,-3.8
2015-12-18,48.9,0.5,5.1,202.6,401.02,0.413,0.5,-3.8
2015-12-21,48.9,0.5,5.1,202.893,402.16,0.4195,0.5,-3.8
2015-12-22,48.9,0.5,5.1,204.247,401.78,0.4175,0.5,-3.8
2015-12-23,48.9,0.5,5.1,205.507,401.95,0.4216,0.5,-3.8
2015-12-24,48.9,0.5,5.1,203.758,402.86,0.4219,0.5,-3.8
2015-12-25,48.9,0.5,5.1,203.758,402.86,0.4219,0.5,-3.8
2015-12-28,48.9,0.5,5.1,203.205,402.27,0.4219,0.5,-3.8
2015-12-29,48.9,0.5,5.1,210.663,402.9,0.4239,0.5,-3.8
2015-12-30,48.9,0.5,5.1,214.174,405.44,0.4275,0.5,-3.8
2015-12-31,48.4,0.7,5.0,210.159,404.71,0.4295,0.5,-9.2
2016-01-01,48.4,0.7,5.0,210.159,404.71,0.4295,0.5,-9.2
2016-01-04,48.4,0.7,5.0,207.494,406.24,0.4225,0.5,-9.2
2016-01-05,48.4,0.7,5.0,203.222,406.58,0.422,0.5,-9.2
2016-01-06,48.4,0.7,5.0,196.678,410.5,0.4235,0.5,-9.2
2016-01-07,48.4,0.7,5.0,194.211,408.26,0.4235,0.5,-9.2
2016-01-08,48.4,0.7,5.0,191.549,412.23,0.4238,0.5,-9.2
2016-01-11,48.4,0.7,5.0,198.215,408.1,0.424,0.5,-9.2
2016-01-12,48.4,0.7,5.0,188.962,409.16,0.4245,0.5,-9.2
2016-01-13,48.4,0.7,5.0,186.888,407.54,0.4255,0.5,-9.2
2016-01-14,48.4,0.7,5.0,183.814,407.82,0.4255,0.5,-9.2
2016-01-15,48.4,0.7,5.0,180.078,407.82,0.4255,0.5,-9.2
2016-01-18,48.4,0.7,5.0,180.078,407.82,0.426,0.5,-9.2
2016-01-19,48.4,0.7,5.0,181.151,409.42,0.425,0.5,-9.2
2016-01-20,48.4,0.7,5.0,171.79,410.27,0.4253,0.5,-9.2
2016-01-21,48.4,0.7,5.0,174.622,409.86,0.4265,0.5,-9.2
2016-01-22,48.4,0.7,5.0,175.177,411.02,0.4255,0.5,-9.2
2016-01-25,48.4,0.7,5.0,171.126,411.03,0.4306,0.5,-9.2
2016-01-26,48.4,0.7,5.0,168.385,411.89,0.4306,0.5,-9.2
2016-01-27,48.4,0.7,5.0,167.883,413.84,0.428,0.5,-9.2
2016-01-28,48.4,0.7,5.0,164.77,413.84,0.4262,0.5,-9.2
2016-01-29,48.4,0.7,5.0,160.549,416.91,0.425,0.5,-9.2
2016-02-01,48.0,1.4,4.9,164.333,417.7,0.427,0.5,-3.5
2016-02-02,48.0,1.4,4.9,150.394,420.05,0.4285,0.5,-3.5
2016-02-03,48.0,1.4,4.9,155.028,421.31,0.4285,0.5,-3.5
2016-02-04,48.0,1.4,4.9,154.441,421.97,0.4277,0.5,-3.5
2016-02-05,48.0,1.4,4.9,154.067,421.93,0.4289,0.5,-3.5
2016-02-08,48.0,1.4,4.9,147.867,422.67,0.42925,0.5,-3.5
2016-02-09,48.0,1.4,4.9,141.566,421.56,0.4285,0.5,-3.5
2016-02-10,48.0,1.4,4.9,135.781,422.83,0.4265,0.5,-3.5
2016-02-11,48.0,1.4,4.9,137.418,421.52,0.427,0.5,-3.5
2016-02-12,48.0,1.4,4.9,146.328,421.89,0.4305,0.5,-3.5
2016-02-15,48.0,1.4,4.9,146.328,421.89,0.42925,0.5,-3.5
2016-02-16,48.0,1.4,4.9,148.744,420.66,0.4295,0.5,-3.5
2016-02-17,48.0,1.4,4.9,151.381,421.29,0.43005,0.5,-3.5
2016-02-18,48.0,1.4,4.9,144.457,420.91,0.432,0.5,-3.5
2016-02-19,48.0,1.4,4.9,144.983,420.97,0.4335,0.5,-3.5
2016-02-22,48.0,1.4,4.9,144.83,422.18,0.4335,0.5,-3.5
2016-02-23,48.0,1.4,4.9,139.522,421.79,0.4358,0.5,-3.5
2016-02-24,48.0,1.4,4.9,141.262,422.4,0.4338,0.5,-3.5
2016-02-25,48.0,1.4,4.9,139.011,421.6,0.4385,0.5,-3.5
2016-02-26,48.0,1.4,4.9,144.694,421.74,0.4385,0.5,-3.5
2016-02-29,49.4,1.0,4.9,141.425,422.13,0.4405,0.5,-7.9
2016-03-01,49.4,1.0,4.9,149.419,422.6,0.43525,0.5,-7.9
2016-03-02,49.4,1.0,4.9,154.048,422.6,0.4376,0.5,-7.9
2016-03-03,49.4,1.0,4.9,155.392,423.86,0.4405,0.5,-7.9
2016-03-04,49.4,1.0,4.9,160.447,426.51,0.438,0.5,-7.9
2016-03-07,49.4,1.0,4.9,162.594,427.36,0.4405,0.5,-7.9
2016-03-08,49.4,1.0,4.9,152.348,429.11,0.44185,0.5,-7.9
2016-03-09,49.4,1.0,4.9,157.076,428.37,0.438,0.5,-7.9
2016-03-10,49.4,1.0,4.9,161.693,436.94,0.4381,0.5,-7.9
2016-03-11,49.4,1.0,4.9,166.162,437.09,0.4362,0.5,-7.9
2016-03-14,49.4,1.0,4.9,163.867,438.1,0.4413,0.5,-7.9
2016-03-15,49.4,1.0,4.9,163.409,438.06,0.44125,0.5,-7.9
2016-03-16,49.4,1.0,4.9,160.796,436.79,0.4399,0.5,-7.9
2016-03-17,49.4,1.0,4.9,161.097,438.07,0.4321,0.5,-7.9
2016-03-18,49.4,1.0,4.9,157.813,438.71,0.4283,0.5,-7.9
2016-03-21,49.4,1.0,4.9,161.029,443.55,0.4318,0.5,-7.9
2016-03-22,49.4,1.0,4.9,164.02,444.32,0.4315,0.5,-7.9
2016-03-23,49.4,1.0,4.9,157.34,444.52,0.433,0.5,-7.9
2016-03-24,49.4,1.0,4.9,161.519,444.09,0.435,0.5,-7.9
2016-03-25,49.4,1.0,4.9,161.519,444.09,0.435,0.5,-7.9
2016-03-28,49.4,1.0,4.9,161.465,443.02,0.435,0.5,-7.9
2016-03-29,49.4,1.0,4.9,157.463,440.3,0.4329,0.5,-7.9
2016-03-30,49.4,1.0,4.9,162.447,440.21,0.434,0.5,-7.9
2016-03-31,51.2,0.9,5.0,156.522,440.47,0.43725,0.5,9.5
2016-04-01,51.2,0.9,5.0,154.163,440.43,0.43735,0.5,9.5
2016-04-04,51.2,0.9,5.0,156.347,440.78,0.4402,0.5,9.5
2016-04-05,51.2,0.9,5.0,150.135,440.13,0.4385,0.5,9.5
2016-04-06,51.2,0.9,5.0,151.919,439.7,0.439,0.5,9.5
2016-04-07,51.2,0.9,5.0,145.488,438.85,0.43645,0.5,9.5
2016-04-08,51.2,0.9,5.0,148.782,446.99,0.4347,0.5,9.5
2016-04-11,51.2,0.9,5.0,150.672,446.87,0.4359,0.5,9.5
2016-04-12,51.2,0.9,5.0,154.72,447.73,0.43715,0.5,9.5
2016-04-13,51.2,0.9,5.0,153.499,451.27,0.43275,0.5,9.5
2016-04-14,51.2,0.9,5.0,156.815,451.84,0.43625,0.5,9.5
2016-04-15,51.2,0.9,5.0,152.798,451.04,0.43625,0.5,9.5
2016-04-18,51.2,0.9,5.0,155.745,451.97,0.43875,0.5,9.5
2016-04-19,51.2,0.9,5.0,157.151,454.02,0.44115,0.5,9.5
2016-04-20,51.2,0.9,5.0,161.617,455.95,0.44125,0.5,9.5
2016-04-21,51.2,0.9,5.0,162.705,456.01,0.43885,0.5,9.5
2016-04-22,51.2,0.9,5.0,165.383,457.12,0.43645,0.5,9.5
2016-04-25,51.2,0.9,5.0,165.844,456.91,0.43695,0.5,9.5
2016-04-26,51.2,0.9,5.0,167.785,455.53,0.4377,0.5,9.5
2016-04-27,51.2,0.9,5.0,161.169,454.29,0.4352,0.5,9.5
2016-04-28,51.2,0.9,5.0,161.067,454.28,0.4388,0.5,9.5
2016-04-29,51.2,0.9,5.0,161.967,456.43,0.43575,0.5,9.5
2016-05-02,51.1,1.1,5.0,167.908,456.26,0.43575,0.5,-1.6
2016-05-03,51.1,1.1,5.0,159.46,454.6,0.4359,0.5,-1.6
2016-05-04,51.1,1.1,5.0,158.192,454.21,0.4359,0.5,-1.6
2016-05-05,51.1,1.1,5.0,155.207,452.79,0.43715,0.5,-1.6
2016-05-06,51.1,1.1,5.0,157.875,452.75,0.4379,0.5,-1.6
2016-05-09,51.1,1.1,5.0,153.203,454.29,0.43865,0.5,-1.6
2016-05-10,51.1,1.1,5.0,151.207,454.02,0.4373,0.5,-1.6
2016-05-11,51.1,1.1,5.0,147.731,453.99,0.43465,0.5,-1.6
2016-05-12,51.1,1.1,5.0,148.199,453.18,0.43445,0.5,-1.6
2016-05-13,51.1,1.1,5.0,143.048,453.45,0.43395,0.5,-1.6
2016-05-16,51.1,1.1,5.0,148.375,453.88,0.4362,0.5,-1.6
2016-05-17,51.1,1.1,5.0,148.237,454.6,0.4387,0.5,-1.6
2016-05-18,51.1,1.1,5.0,155.371,453.59,0.43845,0.5,-1.6
2016-05-19,51.1,1.1,5.0,154.345,450.89,0.443,0.5,-1.6
2016-05-20,51.1,1.1,5.0,152.809,450.57,0.44325,0.5,-1.6
2016-05-23,51.1,1.1,5.0,150.939,449.95,0.446,0.5,-1.6
2016-05-24,51.1,1.1,5.0,151.184,448.2,0.4442,0.5,-1.6
