,Date,RTG_SP,RTG_SP_CHANGE,RTG_FITCH,RTG_FITCH_CHANGE,RTG_MOODY,RTG_MOODY_CHANGE,TOT_DEBT_TO_TOT_EQY,CUR_RATIO,IS_EPS,RETURN_ON_ASSET,RETURN_COM_EQY,EBITDA_TO_REVENUE,DAYS_TO_MTY_TDY,DAYS_TO_NEXT_COUPON,CALLABLE,NORMALIZED_PAYMENT_RANK,CPN_TYP,CPN_FREQ,VOLATILITY_360D,VOLATILITY_90D,VOLATILITY_30D,"('LW920639@BMRK Corp', 'PX_LAST')"
30,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
31,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
32,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
33,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
34,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
35,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
36,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
37,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
38,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
39,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
40,,BB,0.0,BB,0.0,,0.0,93.3994700165927,1.4767557390969277,25.01,6.754143381993255,19.3133919677957,18.56375739933699,710.0,158.0,Y,Sr Unsecured,FIXED,2.0,3.528411388397217,2.5721306800842285,2.34228253364563,
