date,Spread
2011-07-11,290.452
2011-07-12,285.507
2011-07-13,288.333
2011-07-14,294.665
2011-07-15,289.909
2011-07-18,292.091
2011-07-19,286.341
2011-07-20,291.069
2011-07-21,297.652
2011-07-22,293.006
2011-07-25,296.606
2011-07-26,288.513
2011-07-27,290.245
2011-07-28,287.263
2011-07-29,270.292
2011-08-01,266.836
2011-08-02,255.382
2011-08-03,260.834
2011-08-04,239.6
2011-08-05,255.217
2011-08-08,229.587
2011-08-09,222.166
2011-08-10,209.424
2011-08-11,232.764
2011-08-12,224.297
2011-08-15,230.318
2011-08-16,221.286
2011-08-17,215.845
2011-08-18,206.071
2011-08-19,206.109
2011-08-22,210.92
2011-08-23,214.62
2011-08-24,230.794
2011-08-25,223.245
2011-08-26,219.372
2011-08-29,225.489
2011-08-30,216.995
2011-08-31,221.16
2011-09-01,211.836
2011-09-02,197.141
2011-09-05,197.141
2011-09-06,196.451
2011-09-07,202.342
2011-09-08,196.688
2011-09-09,191.193
2011-09-12,194.072
2011-09-13,198.898
2011-09-14,198.201
2011-09-15,208.031
2011-09-16,204.62
2011-09-19,194.894
2011-09-20,193.172
2011-09-21,185.085
2011-09-22,171.635
2011-09-23,183.677
2011-09-26,189.855
2011-09-27,195.965
2011-09-28,197.294
2011-09-29,198.434
2011-09-30,189.342
2011-10-03,175.935
2011-10-04,181.903
2011-10-05,188.596
2011-10-06,198.555
2011-10-07,207.052
2011-10-10,207.052
2011-10-11,214.798
2011-10-12,219.323
2011-10-13,216.653
2011-10-14,223.34
2011-10-17,213.307
2011-10-18,215.988
2011-10-19,213.835
2011-10-20,217.193
2011-10-21,220.235
2011-10-24,222.687
2011-10-25,210.216
2011-10-26,219.229
2011-10-27,238.253
2011-10-28,231.548
2011-10-31,212.69
2011-11-01,199.744
2011-11-02,198.373
2011-11-03,207.176
2011-11-04,203.617
2011-11-07,203.591
2011-11-08,207.018
2011-11-09,195.475
2011-11-10,205.521
2011-11-11,205.521
2011-11-14,204.927
2011-11-15,203.838
2011-11-16,199.324
2011-11-17,195.853
2011-11-18,200.872
2011-11-21,194.822
2011-11-22,190.053
2011-11-23,186.697
2011-11-24,186.697
2011-11-25,194.705
2011-11-28,196.209
2011-11-29,197.943
2011-11-30,206.632
2011-12-01,209.027
2011-12-02,203.648
2011-12-05,204.697
2011-12-06,208.747
2011-12-07,202.792
2011-12-08,196.869
2011-12-09,205.946
2011-12-12,201.134
2011-12-13,195.835
2011-12-14,190.61
2011-12-15,191.127
2011-12-16,185.08
2011-12-19,181.298
2011-12-20,191.657
2011-12-21,196.508
2011-12-22,194.592
2011-12-23,202.784
2011-12-26,202.785
2011-12-27,199.84
2011-12-28,191.54
2011-12-29,189.716
2011-12-30,186.435
2012-01-02,186.435
2012-01-03,193.813
2012-01-04,196.528
2012-01-05,198.279
2012-01-06,194.854
2012-01-09,195.107
2012-01-10,195.648
2012-01-11,188.679
2012-01-12,189.576
2012-01-13,184.158
2012-01-16,184.158
